motion,tightening_percent,run_path,run_id,metric,numeric_points
135_04,90.0,wenboli787-university-of-glasgow/mjlab/ulg9855a,ulg9855a,Episode_Reward/motion_body_ori,1000
135_04,0.0,wenboli787-university-of-glasgow/mjlab/n61zry8v,n61zry8v,Episode_Reward/motion_body_pos,1000
135_04,10.0,wenboli787-university-of-glasgow/mjlab/t0v9ymkr,t0v9ymkr,Episode_Reward/motion_body_pos,1000
135_04,20.0,wenboli787-university-of-glasgow/mjlab/5c6btig5,5c6btig5,Episode_Reward/motion_body_pos,1000
135_04,30.0,wenboli787-university-of-glasgow/mjlab/x0bcsoex,x0bcsoex,Episode_Reward/motion_body_pos,1000
135_04,40.0,wenboli787-university-of-glasgow/mjlab/hi111qky,hi111qky,Episode_Reward/motion_body_pos,1000
135_04,50.0,wenboli787-university-of-glasgow/mjlab/4lxbgbhi,4lxbgbhi,Episode_Reward/motion_body_pos,1000
135_04,60.0,wenboli787-university-of-glasgow/mjlab/ipjv1mrp,ipjv1mrp,Episode_Reward/motion_body_pos,1000
135_04,70.0,wenboli787-university-of-glasgow/mjlab/j4lh9vbo,j4lh9vbo,Episode_Reward/motion_body_pos,1000
135_04,80.0,wenboli787-university-of-glasgow/mjlab/wfyw2ox5,wfyw2ox5,Episode_Reward/motion_body_pos,1000
135_04,90.0,wenboli787-university-of-glasgow/mjlab/ulg9855a,ulg9855a,Episode_Reward/motion_body_pos,1000
135_04,0.0,wenboli787-university-of-glasgow/mjlab/n61zry8v,n61zry8v,Episode_Reward/motion_global_root_ori,1000
135_04,10.0,wenboli787-university-of-glasgow/mjlab/t0v9ymkr,t0v9ymkr,Episode_Reward/motion_global_root_ori,1000
135_04,20.0,wenboli787-university-of-glasgow/mjlab/5c6btig5,5c6btig5,Episode_Reward/motion_global_root_ori,1000
135_04,30.0,wenboli787-university-of-glasgow/mjlab/x0bcsoex,x0bcsoex,Episode_Reward/motion_global_root_ori,1000
135_04,40.0,wenboli787-university-of-glasgow/mjlab/hi111qky,hi111qky,Episode_Reward/motion_global_root_ori,1000
135_04,50.0,wenboli787-university-of-glasgow/mjlab/4lxbgbhi,4lxbgbhi,Episode_Reward/motion_global_root_ori,1000
135_04,60.0,wenboli787-university-of-glasgow/mjlab/ipjv1mrp,ipjv1mrp,Episode_Reward/motion_global_root_ori,1000
135_04,70.0,wenboli787-university-of-glasgow/mjlab/j4lh9vbo,j4lh9vbo,Episode_Reward/motion_global_root_ori,1000
135_04,80.0,wenboli787-university-of-glasgow/mjlab/wfyw2ox5,wfyw2ox5,Episode_Reward/motion_global_root_ori,1000
135_04,90.0,wenboli787-university-of-glasgow/mjlab/ulg9855a,ulg9855a,Episode_Reward/motion_global_root_ori,1000
135_04,0.0,wenboli787-university-of-glasgow/mjlab/n61zry8v,n61zry8v,Episode_Reward/motion_global_root_pos,1000
135_04,10.0,wenboli787-university-of-glasgow/mjlab/t0v9ymkr,t0v9ymkr,Episode_Reward/motion_global_root_pos,1000
135_04,20.0,wenboli787-university-of-glasgow/mjlab/5c6btig5,5c6btig5,Episode_Reward/motion_global_root_pos,1000
135_04,30.0,wenboli787-university-of-glasgow/mjlab/x0bcsoex,x0bcsoex,Episode_Reward/motion_global_root_pos,1000
135_04,40.0,wenboli787-university-of-glasgow/mjlab/hi111qky,hi111qky,Episode_Reward/motion_global_root_pos,1000
135_04,50.0,wenboli787-university-of-glasgow/mjlab/4lxbgbhi,4lxbgbhi,Episode_Reward/motion_global_root_pos,1000
135_04,60.0,wenboli787-university-of-glasgow/mjlab/ipjv1mrp,ipjv1mrp,Episode_Reward/motion_global_root_pos,1000
135_04,70.0,wenboli787-university-of-glasgow/mjlab/j4lh9vbo,j4lh9vbo,Episode_Reward/motion_global_root_pos,1000
135_04,80.0,wenboli787-university-of-glasgow/mjlab/wfyw2ox5,wfyw2ox5,Episode_Reward/motion_global_root_pos,1000
135_04,90.0,wenboli787-university-of-glasgow/mjlab/ulg9855a,ulg9855a,Episode_Reward/motion_global_root_pos,1000
135_04,0.0,wenboli787-university-of-glasgow/mjlab/n61zry8v,n61zry8v,Episode_Reward/self_collisions,1000
135_04,10.0,wenboli787-university-of-glasgow/mjlab/t0v9ymkr,t0v9ymkr,Episode_Reward/self_collisions,1000
135_04,20.0,wenboli787-university-of-glasgow/mjlab/5c6btig5,5c6btig5,Episode_Reward/self_collisions,1000
135_04,30.0,wenboli787-university-of-glasgow/mjlab/x0bcsoex,x0bcsoex,Episode_Reward/self_collisions,1000
135_04,40.0,wenboli787-university-of-glasgow/mjlab/hi111qky,hi111qky,Episode_Reward/self_collisions,1000
135_04,50.0,wenboli787-university-of-glasgow/mjlab/4lxbgbhi,4lxbgbhi,Episode_Reward/self_collisions,1000
135_04,60.0,wenboli787-university-of-glasgow/mjlab/ipjv1mrp,ipjv1mrp,Episode_Reward/self_collisions,1000
135_04,70.0,wenboli787-university-of-glasgow/mjlab/j4lh9vbo,j4lh9vbo,Episode_Reward/self_collisions,1000
135_04,80.0,wenboli787-university-of-glasgow/mjlab/wfyw2ox5,wfyw2ox5,Episode_Reward/self_collisions,1000
135_04,90.0,wenboli787-university-of-glasgow/mjlab/ulg9855a,ulg9855a,Episode_Reward/self_collisions,1000
135_04,0.0,wenboli787-university-of-glasgow/mjlab/n61zry8v,n61zry8v,Episode_Termination/anchor_ori,1000
135_04,10.0,wenboli787-university-of-glasgow/mjlab/t0v9ymkr,t0v9ymkr,Episode_Termination/anchor_ori,1000
135_04,20.0,wenboli787-university-of-glasgow/mjlab/5c6btig5,5c6btig5,Episode_Termination/anchor_ori,1000
135_04,30.0,wenboli787-university-of-glasgow/mjlab/x0bcsoex,x0bcsoex,Episode_Termination/anchor_ori,1000
135_04,40.0,wenboli787-university-of-glasgow/mjlab/hi111qky,hi111qky,Episode_Termination/anchor_ori,1000
135_04,50.0,wenboli787-university-of-glasgow/mjlab/4lxbgbhi,4lxbgbhi,Episode_Termination/anchor_ori,1000
135_04,60.0,wenboli787-university-of-glasgow/mjlab/ipjv1mrp,ipjv1mrp,Episode_Termination/anchor_ori,1000
135_04,70.0,wenboli787-university-of-glasgow/mjlab/j4lh9vbo,j4lh9vbo,Episode_Termination/anchor_ori,1000
135_04,80.0,wenboli787-university-of-glasgow/mjlab/wfyw2ox5,wfyw2ox5,Episode_Termination/anchor_ori,1000
135_04,90.0,wenboli787-university-of-glasgow/mjlab/ulg9855a,ulg9855a,Episode_Termination/anchor_ori,1000
135_04,0.0,wenboli787-university-of-glasgow/mjlab/n61zry8v,n61zry8v,Episode_Termination/anchor_pos,1000
135_04,10.0,wenboli787-university-of-glasgow/mjlab/t0v9ymkr,t0v9ymkr,Episode_Termination/anchor_pos,1000
135_04,20.0,wenboli787-university-of-glasgow/mjlab/5c6btig5,5c6btig5,Episode_Termination/anchor_pos,1000
135_04,30.0,wenboli787-university-of-glasgow/mjlab/x0bcsoex,x0bcsoex,Episode_Termination/anchor_pos,1000
135_04,40.0,wenboli787-university-of-glasgow/mjlab/hi111qky,hi111qky,Episode_Termination/anchor_pos,1000
135_04,50.0,wenboli787-university-of-glasgow/mjlab/4lxbgbhi,4lxbgbhi,Episode_Termination/anchor_pos,1000
135_04,60.0,wenboli787-university-of-glasgow/mjlab/ipjv1mrp,ipjv1mrp,Episode_Termination/anchor_pos,1000
135_04,70.0,wenboli787-university-of-glasgow/mjlab/j4lh9vbo,j4lh9vbo,Episode_Termination/anchor_pos,1000
135_04,80.0,wenboli787-university-of-glasgow/mjlab/wfyw2ox5,wfyw2ox5,Episode_Termination/anchor_pos,1000
135_04,90.0,wenboli787-university-of-glasgow/mjlab/ulg9855a,ulg9855a,Episode_Termination/anchor_pos,1000
